ID,ID_MOV,DESCRIZIONE
532,3064,Spesa AH
533,3065,Spesa Jumbo + campanello
545,3204,Spesa AH
546,3205,Spesa AH
547,3206,Laundry
548,3208,Spesa AH
549,3209,Spesa AH
550,3222,Laundry
551,3223,Pranzo AH
552,3226,Spesa AH
553,3233,Laundry
554,3290,Spesa AH
555,3291,Bagnoschiuma Action
556,3292,Spesa AH
557,3298,Spesa AH
558,3299,Spesa AH
559,3300,Laundry
562,3312,Pranzo + spesa AH
563,3313,The (Aldi)
564,3316,Spesa AH
565,3324,Spesa AH
566,3325,Laundry
567,3326,Salsiccia broodje
568,3335,Spesa AH
569,3336,Spesa AH
570,3339,Pranzo AH
571,3360,Laundry
572,3361,Spesa AH
573,3362,Spesa AH
574,3364,Spesa AH
575,3367,Spesa AH
576,3368,Spesa AH
577,3369,Spesa AH
578,3370,Spesa AH
579,3371,Spesa AH
580,3373,Spesa AH
581,3383,Laundry
582,3385,Spesa Amazing Oriental
3,1367,Asciugamani
4,1368,Spesa da Jumbo
6,1386,Wok, tovagliete, detersivi, supgne, straccio
7,1387,Spesa AH
8,1389,Abbonamento Budget Mobile (tel)
9,1392,Spesa Jumbo
10,1393,Spesa per pranzo
11,1394,Affitto bicicleta
12,1401,Spesa per pranzo: panino + donought + stroopwafel
13,1402,Affitto Swapfiets bici giugno
14,1403,Spesa per pranzo
15,1404,Cena (Mc Donald's)
16,1406,Pranzo
17,1407,Spesa Jumbo
18,1408,Pranzo Jumbo
19,1411,Wok 2 Walk
20,1414,Spesa Jumbo
21,1418,Pranzo Jumbo
23,1422,Pranzo Jumbo
24,1425,Spesa Jumbo
25,1426,Cena Mc Donald's
26,1427,PRanzo Jumbo
27,1431,Detersivo lavatrice
28,1432,Burrito
29,1439,Pizza a Kanteen
30,1440,Pranzo + cena Jumbo
31,1441,Biglietto per aeroporto Schiphol
37,1683,Spesa Lidl
38,1684,Spesa MdC
39,1687,Spesa MdC
40,1738,Anticipo pagamento ostello 2-5/10 Amsterdam
41,1739,Spesa una tantum affitto Swapfiets
42,1749,Cena/colazione in areoporto
43,1752,Cena Wok to Walk
44,1754,Pranzo (A&H)
45,1755,Cena (Kebab)
46,1756,Cena Wok o Walk
47,1758,Affito ostello 7-14/10
48,1759,Pranzo/cena Wok to Walk
49,1760,Pranzo Kanteen25
50,1761,Cena Kebab
51,1762,Pranzo/cena pizza
52,1763,Pranzo Kanteen
53,1765,Lavanderia
54,1766,Cena Indiano
55,1767,Pranzo AH
56,1770,Pranzo AH
57,1773,Cena ostello
58,1774,Asciugamani ostello
59,1775,Pranzo ostello
60,1779,Pranzo Kanteen + barretta
61,1780,Cena ostello
62,1781,Pranzo Kanteen
63,1782,Cena ostello
64,1784,Anticipo pagamento ostello 14-20/10
65,1787,Pranzo Kanteen
66,1788,Cena kebab
67,1790,Pranzo ostello
68,1791,Spesa AH
69,1792,Lavanderia
70,1793,Pagamento rimanente ostello 14-20/10
71,1794,Cena Wok to Walk
72,1795,Pranzo AH
73,1796,Cena kebab
74,1797,Pranzo AH
75,1799,Cena Mc Donald's
76,1802,Pranzo AH
77,1803,Cena Wok o Walk
78,1804,Asciugamano microfibra Decathlon
79,1805,Pranzo AH
80,1807,Cena Mc Donald's
82,1811,Pranzo AH
83,1813,Affitto stanza Tommaso (20-26/10)
84,1815,Cena Kanteen
85,1818,Spesa AH
86,1820,Lavatrici (wapp Wash n go)
87,1823,Spesa AH
88,1826,Affitto ostello 26-28/10
89,1827,Affitto ostello 28-29/10
90,1828,Affitto ostello 30/10-4/11
91,1829,Pranzo AH
92,1831,Cena ostello
93,1832,Pranzo AH
95,1837,Affitto notte 29/10
96,1838,Cena ostello
97,1840,Pranzo Kanteen
98,1841,Cena Kebab
99,1842,Spesa AH
100,1844,Cena ostello
101,1847,Cena Ostello pizza
102,1848,Pranzo ostello
103,1851,Cena kebab
104,1854,Rimanenete affito ostello 2-7/10
105,1855,Pranzo Kanteen
106,1856,Cena Mc Donald's
107,1858,Pranzo Kanteen
108,1859,Cena ostello
109,1861,Affitto 4-5/11
110,1862,Affitto 6-10/11
111,1863,Pranzo (Kanteen + AH)
112,1865,Cena Kanteen
113,1866,Pranzo Kanteen
114,1871,Cena W2W
117,1877,Colazione Dunkjn Donuts
118,1878,Pranzo ostello
119,1879,Cena Kebab
120,1886,Pranzo Mc Donald's
121,1887,Cena W2W
122,1888,Pranzo AH
123,1889,Affitto Swaptfiets Novembre/22
149,1925,Lavaggio e asciugatura ostello
125,1891,Cena hamburger ostello
126,1892,Pranzo AH
127,1894,Cena kebab
128,1895,Affitto ostello notte 11/12-11
129,1896,Affitto ostello 12-18/11
133,1902,Pranzo Caldi e Freddi
134,1903,Cena hamburger ostello
163,1949,Cena KFC
136,1908,Cena O'reillys Irish Pub
137,1910,Pranzo Kanteen
138,1911,Pranzo Kanteen
139,1913,Cena W2W
181,1980,Colazione
141,1915,Spesa/pranzo AH
142,1916,Cena hamburger ostello
143,1918,Pranzo AH
144,1920,Cena kebab
145,1921,Anticipo affitto 19-20/11, rimangono da pagare 118,80€
146,1922,Pranzo AH
147,1923,Cena W2W
148,1924,Pranzo ostello
150,1926,Pranzo ostello
151,1927,Cena hamburger ostello
152,1929,Pranzo Kanteen + macchinette
153,1930,Cena Mc Donald's
164,1950,Pranzo Kanteen
166,1953,Cena pizza ostello
174,1965,Cena pizza
175,1967,Pranzo Caldi e Freddi
176,1968,Cena W2W
177,1969,Riparazione bottone
182,1982,Pranzo/cena Burger & Shake
183,1983,Pranzo AH
190,1998,Pranzo AH
191,1999,Affitto 3-4/12
192,2000,Cena pizza
193,2001,Affitto Swapfiets dicembre
194,2003,Pranzo AH
195,2005,Cena Kanteen
196,2006,Pranzo + colazione AH
197,2009,Cena ostello
198,2011,Pranzo AH
199,2013,Affitto ostello 4-9/12
200,2014,Affitto ostello 9-11/12
201,2021,Pranzo AH
202,2022,Cena B&S
204,2025,Pranzo C&F
207,2029,Pranzo kanteen
208,2030,Cena W2W
209,2032,Pranzo kanteen
210,2033,Cena Kanteen
211,2034,ColaPranzo AH
212,2036,Cena ostello
213,2038,Lavatrice
214,2040,Affitto ostello 11-17/12
216,2043,Pranzo B&S
218,2046,Pranzo AH
219,2048,Cena kebab
221,2051,Pranzo-colazione AH
223,2055,Pranzo AH
224,2056,Cena W2W
225,2058,Pranzo AH
226,2060,Cena ostello
227,2062,Pranzo AH
228,2067,Cena Hamburger
237,2083,Prima colazione (BK)
238,2084,Seconda colazione (muffin)
239,2086,Terza colazione (ciambella)
246,2148,Viaggio metro
247,2151,Lenzuola, asciugamano e coperta da HEMA
248,2153,Spesa AH
249,2154,Tende
250,2155,Letto, materassi, frigo, fornetto e appendiabiti
251,2156,Cena Burger Bar De Pijp
254,2159,Frigorifero
255,2160,Poltrona
256,2161,Spesa AH
257,2164,Cena UberEats
274,2196,Spesa AH
259,2166,Acquisto Amazon per casa
262,2170,Spesa AH
263,2172,Spesa AH
266,2185,Fari e elastici per bici, scotch biadesivo
267,2186,Spesa AH
268,2187,Spesa AH
275,2197,Spesa AH
276,2200,Spesa AH
279,2209,Spesa AH
280,2210,Lavatrice
281,2213,Spesa AH
284,2221,Lavatrice
285,2223,Spesa AH
286,2225,Spesa AH
287,2226,Spesa AH
289,2228,Lavatrice
291,2232,Spesa AH
292,2234,Spesa AH
293,2238,Acquisti Action: bilancia, blocco bici, oliera, piattino, iotole, sacchetti pattumiera
154,1933,Pranzo Kanteen
155,1936,Cena ostello
156,1937,Lavatrice
159,1941,Rimanenza da pagare ostello 19-20/11
160,1942,Affitto 20-24/11
161,1943,Affitto 24-26/11
165,1952,Addendum al pranzo
167,1954,Macchinette
168,1955,Pranzo AH
169,1959,Cena kebab
170,1961,Pranzo AH
171,1962,Cena ostello
184,1985,Cena Ostello
205,2027,Cena W2W
215,2041,Pranzo Homeland (cena offerta)
217,2045,Cena Burrito
229,2069,Cena W2W
230,2072,Pranzo AH
231,2073,Notte ostello 18-19/12
232,2075,Affitto notte 17-18/12
233,2076,Cena ostello
234,2077,Pranzo AH + macchinette
235,2079,Cena ostello
236,2081,Pranzo AH + tabacco
242,2108,Parquet casa Amsterdam
252,2157,Spesa AH
253,2158,Spesa AH
260,2167,Spesa AH
261,2168,Biscotti + muffin AH
277,2205,Spesa AH
406,2591,Laundry
282,2217,Spesa AH
283,2218,Spesa AH
295,2250,Spesa AH + pesto
297,2256,Spesa AH
298,2258,Lavatrice
299,2260,Spesa AH
300,2264,Ascigatura
301,2268,Spesa AH
302,2272,Cena pizza Kanteen25
303,2275,Spesa AH
304,2279,Lavatrice
407,2593,Spesa AH
306,2288,Spesa AH
308,2291,Spesa AH
309,2305,Spesa + tabacco
310,2308,Lavatrice
311,2309,Spesa AH
312,2310,Spesa AH
313,2313,Spesa AH
314,2319,"Riparazione" bicicletta
315,2320,Biglietto metro
316,2322,Lavatrice
317,2323,Spesa AH
318,2328,Spesa AH
319,2331,Spesa AH
320,2334,Lavaggio golf
321,2336,Spesa AH
322,2339,Spesa AH
408,2596,Spesa AH
324,2344,Acquisti Actionç lampadine, bounty
325,2346,Lavatrice
326,2347,Spesa AH
327,2350,Spesa AH
328,2352,Spesa Crisp
329,2353,Spesa AH
330,2354,Lavatrice
331,2356,Spesa AH
332,2362,Spesa AH
333,2369,Spesa AH
409,2597,Laundry
335,2375,Lavatrice
336,2376,Colazione + spesa AH
337,2379,Spesa AH
341,2391,Cena pizza Kanteen
342,2394,Spesa AH
343,2396,Spesa AH
344,2397,Lavatrice
345,2398,Colazione + spesa AH
346,2401,Spesa AH
347,2405,Lavatrice
348,2406,Colazione + spesa AH
350,2424,Spesa AH
351,2426,Spesa AH
352,2430,Colazione AH
353,2431,Colazione AH
354,2434,Colazione AH
355,2436,Spesa AH
356,2437,Colazione + spesa AH
410,2598,Spesa AH
358,2441,Spesa + colazione AH
359,2443,Spesa AH
360,2445,Lavatrice
361,2448,Spesa AH
362,2453,Colazione + spesa AH
363,2455,Colazione AH
364,2456,Colazione + spesa AH
365,2463,Spesa AH
366,2465,Lavatrice
367,2467,Mobile cucina
368,2469,Colazione AH
369,2471,Spesa AH
370,2475,Spesa AH
371,2477,Spesa AH
372,2480,Lavatrice
373,2482,Colazione AH
374,2483,Spesa AH
411,2601,Laundry
376,2486,Assicurazione sanitaria periodo 6/3 1/9
377,2489,Lavatrice
378,2492,Colazione AH
379,2495,Spese AH (su più giorni)
380,2501,Asciugatura
415,2605,2G2G
417,2611,Spesa AH
383,2536,Treno e metro da Schiphol
418,2614,Spese AH
385,2538,Metropolitana
419,2616,Spesa AH
387,2541,Spesa AH
388,2553,Lavatrice + asciugatura
389,2554,Spesa AH
390,2555,Spesa AH
395,2568,Spesa AH
392,2562,Spesa AH
393,2563,Metropolitana
394,2566,Tram e metropolitana
396,2570,Spesa AH
397,2574,Spesa AH
398,2579,Spesa AH
420,2617,Spesa AH
421,2621,Laundry
401,2584,Spesa AH
402,2585,Spesa AH
403,2586,2G2G
404,2587,Spesa AH
422,2622,Spesa AH
423,2624,2G2G
424,2628,Spesa AH
425,2630,Laundry
426,2639,Spesa AH
427,2641,Spesa AH
428,2643,Spesa AH
429,2644,Laundry
430,2647,Metropolitana
431,2653,Spesa AH
432,2686,Spesa MdC
434,2706,Metropolitana
436,2708,Laundry
437,2710,Spesa da Amazing Oriental
438,2711,Spesa AH
439,2720,Spesa AH
440,2721,Spesa AH
441,2727,Metropolitana
451,2755,Pranzo Kanteen14
452,2756,Spesa AH
453,2757,Colazione AH
454,2758,Spesa AH
455,2759,Laundry
456,2760,Spesa AH
457,2763,2G2G
458,2764,Colazione AH
459,2766,Colazione + spesa AH
460,2769,Spesa AH
461,2770,Spesa AH
462,2775,Spesa AH
464,2779,Laundry
465,2780,Metro
466,2781,Spesa AH
467,2782,Spesa Amazing Oriental
468,2783,Laundry
469,2785,Spesa AH
470,2787,Spesa AH
473,2790,Spesa AH
472,2789,Colazione AH
475,2793,Colazione AH
476,2798,Colazione AH
477,2799,Laundry
478,2801,Spesa metropolitana giorni 4->8, 11-12 Marzo
479,2816,Spesa mezzi Am 12-13/03
481,2821,Spesa AH
483,2824,Spesa AH
484,2825,Spesa AH
485,2827,Spesa AH
486,2828,Spesa AH
487,2830,Mezzi di trasporto dal 20/3 a 31/3
488,2832,Spesa AH
489,2833,Spesa AH
490,2837,Spesa da Amazing Oriental
491,2838,Spesa AH
492,2840,Spesa AH
493,2841,Spesa AH
494,2842,Laundry
495,2844,Mezzi di trasporto dal 1/4 a 16/4
496,2847,Spesa AH
501,2859,2G2G
503,2864,Spesa Dirk
504,2865,Acquisti Action
505,2871,Spesa AH
506,2872,Laundry
507,2877,Spesa AH
508,2880,Spesa AH
509,2882,Colazione AH
510,2895,Spesa AH
511,2896,Spesa AH
512,2897,Laundry
513,2899,Spesa AH
514,2900,Spesa AH
515,2903,Spesa AH
516,2908,Spesa AH
517,2909,Laundry
518,2912,Spesa Dirk
519,2914,Spesa AH
157,1938,Pranzo Kanteen
158,1939,Cena Kanteen
435,2707,Spesa AH
463,2777,Spesa AH
264,2183,Pranzo AH
265,2184,Cena Kanteen
482,2823,Spesa AH
502,2862,Spesa AH
520,2919,Spesa AH
521,2920,Spesa Amazing Oriental
529,2934,TEST
531,3063,Spesa AH
162,1944,Pranzo Burger 'n shake
178,1973,Pranzo AH
179,1974,Cena Kebab
180,1975,Affitto ostello 27/11 - 3/12
185,1987,Pranzo AH
186,1989,Cena Kebab
187,1994,Pranzo AH + dentifricio
188,1995,Cena ostello
189,1996,Lavaggio + asciugatura
339,2383,Spesa AH
340,2385,Spesa AH
349,2418,Lavaggio
445,2740,Spesa AH
446,2741,TGTG
447,2742,Laundry
497,2854,Spesa AH
498,2855,Spesa AH
499,2856,Spesa AH
500,2858,Laundry
172,1963,Affitto ostello 26-27/11
173,1964,Pranzo AH + tabacco
203,2023,Cena ostello
245,2138,Spedizione due pacchi
269,2190,Lavatrice (3€ per errore)
270,2191,Spesa AH
222,2054,Cena ostello
448,2745,Spesa AH
449,2747,Spesa AH
450,2754,Spesa Amazing Oriental
296,2251,Stampa contratto affitto x BSN
442,2734,Spesa AH
443,2736,Spesa AH
444,2737,Laundry (solo dryer)
480,2820,Laundry
522,2922,Laundry
523,2923,Tassa h2o anno 2023
524,2924,2G2G
525,2928,Spesa AH
526,2929,Fogli di inv. primavera AO
527,2931,Spesa AH
307,2290,Spesa AH
560,3303,Spesa AH
561,3305,Spesa AH
